אביסל|אַ ביסל|קצת
אביסעלע|אַביסעלע|קצת, מעט
אבער|אָבער|אבל, ברם
אבערדאך|אָבער דאָך|אבל בכל זאת
אגוטן|אַ גוטן|יום טוב, ברכה
אדאנק|אַ דאנק|תודה
אדורך|אדורך|דרך, לעבור דרך
אדלער|אָדלער|נשר
אדעליקע|אַדעליקע|נסיכים
אדעליקער|אַדעליקער|נסיך
אדער|אָדער|או
אהיים|אהיים|הביתה
אהין|אַהין|לשם
אהן|אָהן|בלי
אהנעמן|אהנעמן|לקבל, לקבל על עצמו (=אננעמען)
אהער|אַהער|לכאן
אוגערקע|אוגערקע|מלפפון
אודאי|אודאי|בוודאי (=אַוודאי)
אוודאי|אַוודאי|בוודאי
אוונט|אָוונט|ערב
אווענד|אווענד|ערב
אווענט|אווענט|ערב
אוועק|אַוועק|הלאה, יצא
אוועקגיין|אַוועקגיין|ללכת משם
אוועקגעבן|אַוועקגעבן|לתת, למסור
אוועקגעגאנגן|אַוועקגעגאַנגען|הלך משם
אוועקגעגעבן|אוועקגעגעבן|מסר, נתן
אוועקגעזעצט|אוועקגעזעצט|הושיב; (זיך) התיישב
אוועקגעלייגט|אוועקגעלייגט|הניח בצד
אוועקגענומעןגעווארן|אַוועקגענומען געוואָרן|נלקח
אוועקגעפארן|אַוועקגעפאָרן|נסע משם
אוועקגעפירטגעווארן|אֲוועקגעפירט געוואָרען|הוסע
אוועקגעשאנקן|אַוועקגעשאָנקען|העניק- במתנה
אוועקגעשטעלט|אַוועקגעשטעלט|העמיד, קבע
אוועקזעצן|אוועקזעצן|להושיב; (זיך) להתיישב
אוועקזעצןזיך|אַוועקזעצן זיך|להתיישב
אוועקטראגן|אוועקטראגן|לשאת משם, לסחוב
אוועקלאזן|אַוועקלאָזן|לשמוט, לתת-לצאת
אוועקלייגן|אַוועקלייגן|להניח בצד
אוועקנעמן|אוועקנעמן|לקחת, ליטול
אוועקפארן|אַוועקפאָרן|לנסוע משם
אוועקשטעלן|אַוועקשטעלן|להעמיד, לקבוע
אוועקשטעלןזיך|אַוועקשטעלן זיך|להתייצב
אויב|אויב|אם
אויבן|אויבן|למעלה
אויבןאן|אויבן־אָן|באופן שטחי
אויבנדערמאנטע|אויבנדערמאנטע|הנזכר לעיל
אויבער|אויבער|עליון (קידומת)
אויבערפלעכלעך|אויבערפלעכלעך|שטחי
אויבערשטן|אויבערשטען|העליון (מוטה)
אויבערשטע|אויבערשטע|העליון, העליונה
אויבערשטעוועלטן|אויבערשטע וועלטן|עולמות עליונים
אויבערשטער|אויבערשטער|העליון, הקב"ה
אויגן|אויגן|עיניים
אויוון|אויוון|תנור
אויטאמאביל|אויטאָמאָביל|מכונית
אוייסענווייניק|אוייסענווייניג|בעל פה, מחוץ לפנים
אויך|אויך|גם, אף
אויכעט|אויכעט|גם
אוינטערהאנדעלונגעןרס|אוינטערהאַנדעלונגען   ר"ס|שיג ושיח, משא ומתן
אויס|אויס|גמור, יצא
אויסאיידעלן|אויסאיידעלען|לעַדֵן
אויסבאדן|אויסבּאָדן|לרחוץ
אויסבאהאלטן|אויסבאַהאַלטן|להתחבא
אויסבעטן|אויסבּעטען|לבקש, לחנן
אויסברעכן|אויסברעכן|לפרוץ
אויסגאבן|אויסגאבן|הוצאות; מהדורות
אויסגאנג|אויסגאַנג|יציאה, מוצא
אויסגוס|אויסגוּס|השתפכות
אויסגישפראכענע|אויסגישפראָכענע|מוּבהקים
אויסגלאנץ|אױסגלאַנץ|זוהר, ברק
אויסגלייך|אויסגלייך|פיוס
אויסגלייכן|אויסגלייכן|ליישר
אויסגעאיבט|אויסגעאיבט|הפעיל
אויסגעארבעט|אויסגעאַרבּעט|מעובד (בד"כ עיבד), מעובד (בד"כ: עיבד)
אויסגעארבעט|אויסגעאַרבעט|מעובד
אויסגעבן|אויסגעבן|להוציא
אויסגעבעטן|אויסגעבעטן|פעל בתחנונים, ביקש והשיג
אויסגעגאסן|אויסגעגאָסען|שָפַך
אויסגעגלייכט|אויסגעגלייכט|מאוזן
אויסגעדארט|אויסגעדאַרט|כחוש, רזה מיובש
אויסגעדריקט|אויסגעדריקט|הביע, מובע
אויסגעדריקטגעווארן|אויסגעדריקט געוואָרן|הוּבעַ
אויסגעוואנדערטע|אויסגעוואַנדערטע|נודדים
אויסגעוואקסן|אויסגעוואַקסען|גידלו
אויסגעוואשענע|אויסגעוואַשענע|רחוצים
אויסגעוויזן|אויסגעוויזן|נדמה, נראה
אויסגעווייזן|אויסגעווייזן|הוכח
אויסגעזהן|אויסגעזהען|נראה, דמה
אויסגעזוכט|אויסגעזוכט|נבחר
אויסגעזן|אויסגעזען|נראה
אויסגעטאן|אויסגעטאָן|פשט בגדיו
אויסגעטייטשט(האט)|אויסגעטייטשט (האָט)|פירש
אויסגעטיילט|אויסגעטיילט|מחולק
אויסגעייבן|אויסגעהייבן|מורם
אויסגעיילט|אויסגעהיילט|נרפא
אויסגעכאפט(האט‎|אויסגעכאַפּט (האָט‎|חטף
אויסגעלאזט|אויסגעלאָזט|נותר בחוץ
אויסגעלאסן|אויסגעלאַסן|שמח
אויסגעלייגט|אויסגעלייגט|פרוש
אויסגעלעבט|אויסגעלעבט|לחיות (עד סוף החיים)
אויסגעלערנט|אויסגעלערנט|למד היטב; לימד
אויסגעמאלן|אויסגעמאָלן|מצויר
אויסגעמאנט|אויסגעמאָנט|מוזהר
אויסגעמושטירט|אויסגעמושטירט|נבחן, נסקר במבט בוחן
אויסגעמעסטן|אויסגעמעסטן|נמדד
אויסגעמעקט|אויסגעמעקט|להמחות
אויסגעמעקטגעווארן|אויסגעמעקט געוואָרן|נמחה
אויסגענוצט|אויסגענוּצט|מנוצל
אויסגעפאלגט|אויסגעפאָלגט|לשמוע בקול, לקיים
אויסגעפונן|אויסגעפונען|גילה, מצא
אויסגעפוצט|אויסגעפוצט|מקושט, מהודר
אויסגעפינן|אויסגעפינען|למצוא, לגלות
אויסגעפירט|אויסגעפירט|מבוצע
אויסגעפלאסטערטן|אויסגעפלאסטערטען|מרוצף
אויסגעצייכנט|אויסגעצייכנט|מצוין
אויסגעקאלכט|אויסגעקאַלכט|מסויד
אויסגעקומן|אויסגעקומען|יצא לו, הזדמן; נאלץ
אויסגעקליבן|אויסגעקליבן|נבחר
אויסגערעכנט|אויסגערעכנט|חישב
אויסגערעכענט|אויסגערעכענט|נִמנים
אויסגעשטאנן|אויסגעשטאַנען|סבל, עמד מול
אויסגעשטעלט|אויסגעשטעלט|ערוך, מסודר; חשוף
אויסגעשלאסן|אויסגעשלאָסן|לא נכלל
אויסגעשלאסן|אויסגעשלאָסען|מוּצא, מוּסגר, מוּשלל
אויסגעשעפט|אויסגעשעפּט|שאב עד תום, מוצה
אויסגעשפרייט|אויסגעשפּרייט|מְפֻזר
אויסגעשריי|אויסגעשריי|צעקה, זעקה
אויסגרייטן|אויסגרייטן|להכין
אויסדריק|אויסדריק|ביטוי
אויסהאלטן|אויסהאַלטן|להחזיק מעמד
אויסהאלטן|אויסהאַלטען|לִתמוך, להחזיק מעמד
אויסהאקן|אויסהאַקן|לחצוב, לחתוב
אויסהארן|אויסהאַרן|להתאמץ
אויסהיטן(זיך)|אויסהיטן (זיך)|להשמר
אויסהייבן|אויסהייבן|להרים, לבחור
אויסהיילן|אויסהיילן|לרפא
אויסהערן|אויסהערען|להקשיב
אויסהערענדיק|אויסהערענדיק|תוך האזנה עד הסוף
אויסוואל|אויסוואַל|בחירה, מבחר
אויסוואקסן|אויסוואַקסען|לצמוח
אויסוואשן|אויסוואשן|לשטוף, לרחוץ
אויסוווקס|אױסװוּקס|גידול, פיתוח
אויסוויזן|אויסוויזן|להוכיח
אויסווייניק|אויסווייניק|בעל פה
אויסווירקן|אויסווירקן|הִשפעה
אויסוועג|אויסוועג|מוצא
אויסוועלן|אויסוועלן|לבחור
אויסווערטס|אױסװערטס|כלפי חוץ
אויסזאגן|אויסזאָגן|לומר
אויסזוכן|אויסזוכן|לברור, לחפש ולמצוא
אויסזינגן|אויסזינגען|לשיר עד הסוף, לבטא בשירה
אויסזן|אויסזען|להיראות, מראה
אויסזעעניש|אויסזעעניש|מראה חיצוני
אויסטאן|אויסטאָן|להתפשט, לִפשוט
אויסטוישונגסווערטער|אויסטוישוּנגס-ווערטער|חליפת מילים - שיחה
אויסטייטש|אויסטייטש|פירוש, ביאור
אויסטייטשן|אויסטייטשן|לפרש
אויסטיילן|אויסטיילן|לחלק
אויסטרעטער|אויסטרעטער|סולל, רומס
אויסיאגן|אויסיאָגן|לרדוף
אויסלאזן|אויסלאזן|לסיים; (זיך) להסתיים
אויסלאכן|אויסלאַכן|ללעוג, לצחוק על
אויסלאנד|אויסלאַנד|מחו"ל
אויסלאנדישע|אויסלאָנדישע|של חו"ל
אויסלייגן|אויסלייגן|לפרוש, לסדר
אויסליידיקעןזיך|אויסליידיקען זיך|להִתפנות, להִתרוקן
אויסלערנן|אויסלערנן|ללמד; (זיך) ללמוד היטב
אויסלערנעןזיך|אויסלערנען זיך|ללמוד היטב
אויסמאלן|אויסמאָלען|לתאר
אויסמושטירן|אויסמושטירן|לבחון, לסקור במבט בוחן
אויסמישן|אויסמישן|לערבב
אויסמעסטן|אויסמעסטען|לִמדוד
אויסמערקזאם|אויסמערקזאַם|להעיר (להסב תשומת לב)
אויסן|אויסן|(זיין אויסן) להתכוון ל־, לחתור ל־
אויסנאהם|אויסנַאהם|חריג, יוצא מִן הכלל
אויסנאם|אויסנאַם|יוצא מן הכלל
אויסנווייניק|אויסנווייניק|בעל פה; מבחוץ
אויסניצן|אויסניצן|לנצל
אויסער|אויסער|חוץ מ-, פרט ל-
אויסערגעוויינליכער|אויסערגעוויינליכער|בלתי רגיל, יוצא דופן
אויסערגעווינליכער|אויסערגעווינליכער|בלתי-רגיל
אויסערגעווענליכער|אויסער געוועהנליכער|בלתי רגיל
אויספאקן|אויספאקן|לפרוק (חבילה)
אויספארמירט|אויספאָרמירט|עוצב, עוצב מחדש
אויספארשונג|אויספאָרשונג|חקירה
אויספארשונגס|אויספּאָרשונגס|חקירות
אויספיהערליך|אויספּיהערליך|בפרוטרוט
אויספיהר|אויספיהר|המסקנה, מסקנה, ביצוע
אויספיהרליך|אויספיהרליך|בפירוט, באריכות
אויספיר|אויספיר|מסקנה
אויספירן|אויספירן|למלא
אויספרובירן|אויספּרובירן|לבדוק, לנסות
אויספרובן|אויספּרוּבן|לבחון
אויספרעסן|אויספּרעסן|ללחוץ
אויסצוג|אויסצוג|ציטוט
אויסצוגעפינן|אויסצוגעפינען|למצוא
אויסצוטייטשן|אויסצוּטייטשען|לפרש (לתרגם
אויסצוטרעטן|אויסצוטרעטן|לסלול
אויסצומיידן|אויסצומיידן|לִשלול
אויסצופאקן|אויסצופאקן|לפרוק, להוציא מהאריזה
אויסצופיהרן|אויסצופיהרען|לילאַ, למלאות
אויסצופירן|אויסצופירן|לבצע, להוציא לפועל
אויסצופרובירן|אויסצופּרובירן|לבחון
אויסצופרובירן|אויסצופּרובירן|להכיח
אויסצורעכענן|אויסצורעכענען|לחשב
אויסצושטיין|אויסצושטיין|להתמודד, לעמוד כנגד
אויסציין|אויסציין|לקשט
אויסקאנטשטן|אויסקאַנטשטן|לזהות
אויסקוינפטן|אויסקוינפטן|עתיד, לעתיד
אויסקוק|אויסקוק|מראה
אויסקלייבן|אויסקליַיבען|לבחור
אויסקלייבן|אויסקלייבּען|לבחור, לברור
אויסקלינגן|אויסקלינגען|להישמע
אויסקערן|אויסקערן|לטאטא
אויסראטן|אויסראָטן|לכלות, להכרית, לכלות, להכריח
אויסראמן|אויסראמן|לפנות, לבער
אויסרון|אויסרוען|(זיך) לנוח
אויסרופן|אויסרופן|להכריז
אויסריידן|אויסריידן|לבטא; (זיך) לשפוך את הלב
אויסרייניקן|אויסרייניקן|לנקות היטב, לטהר
אויסרייסן|אויסרייסן|לתלוש, לעקור
אויסרעדן|אויסרעדן|לדבר, לשוחח
אויסרעכענונג|אויסרעכענונג|חישוב
אויסרעכענן|אויסרעכענען|לחשב
אויסשטעלן|אויסשטעלן|להציג
אויסשניידן|אויסשניידן|לגזור, לחתוך
אויסשעפן|אויסשעפן|למצות, לדלות עד תום
אויסשפראך|אויסשפּראַך|משהו-לבטא, התבטאות, ביטוי
אויסשפראכן|אויסשפראכן|מבטאים; ביטויים
אויסשריין|אויסשרייען|לצעוק, לזעוק
אויער|אויער|אוזן
אויערן|אויערן|אוזניים
אויערן|אויערען|אוזנים, אוזניים
אויף|אויף|על, בשביל
אויףאייביק|אויף אייביק|לנצח
אויףאמאל|אויף אַמאָל|בבת אחת, פתאום
אויףשטענדיק|אויף שטענדיק|לתמיד
אויפבוין|אויפבויען|לִבנות
אויפגאב|אויפגאב|משימה, תפקיד
אויפגאבן|אויפגאַבן|תפקידים, משימות
אויפגאבע|אויפֿגאַבע|משימה
אויפגאבע|אויפגאַבע|תפקיד, משימה
אויפגאבע|אויפגאַבּע|תפקיד
אויפגעבויט|אויפגעבויט|בנה
אויפגעבראכט(האט)|אויפגעבראַכט (האָט)|הכעיס
אויפגעוואכט|אויפגעוואַכט|התעורר
אויפגעוואקסן|אויפגעוואקסן|גדל, התבגר
אויפגעוועקטגעווארן|אויפגעוועקט געוואָרן|התעוררו
אויפגעויבן|אויפגעהויבן|התרומם, קם, הורם, נרומם
אויפגעטאן|אויפגעטאָן|פעל, חידש
אויפגעטראגן|אויפגעטראָגן|הוגש, הוצג
אויפגעכאפט|אויפגעכאַפט|תפסו
אויפגעכאפט|אויפגעכאַפּט|קלט, הבין
אויפגעלייגט|אויפגעלייגט|במצב רוח מרומם, שמח
אויפגעלייגטע|אויפגעלייגטע|מצב רוח מרומם
אויפגעלייגטקייט|אויפגעלייגטקייט|מצב רוח מרומם
אויפגעמינטערט|אויפגעמינטערט|עודד, עודד
אויפגענומן|אויפגענומען|קיבל (פנים), קלט
אויפגענומעןגעווארן|אויפגענומען געוואָרן|התקבלו
אויפגעערט|אויפגעהערט|הפסיק
אויפגעקלערט|אויפגעקלערט|הבהיר
אויפגערודערט|אויפגערודערט|הרעידה, זעזע
אויפגערעגט|אויפֿגערעגט|נרגש
אויפגעשטאנן|אויפגעשטאַנען|התעורר, קם
אויפגעשטעלט|אויפגעשטעלט|העמיד, הקים
אויפדעקן|אויפדעקן|לגלות, לחשוף
אויפהאלטן|אויפהאַלטן|לשמור, לקיים לעכב
אויפהאלטן|אויפֿהאַלטן|לשמור, לקיים
אויפהאלטןזיך|אויפהאַלטן זיך|לשהות, להתקיים
אויפהויבן|אויפהויבן|להרים, להגביה
אויפהייבן|אויפֿהייבן|להרים
אויפהענגן|אויפהענגען|לתלות
אויפהערן|אויפהערן|להפסיק, לחדול
אויפווארפן|אויפוואַרפען|להשליך למעלה, להעלות
אויפוועקן|אויפוועקן|להעיר
אויפטאן|אויפטאָן|לפעול, לחדש
אויפטו|אויפטו|חידוש, פעולה מחודשת
אויפטון|אויפטוען|חידושים
אויפטראג|אויפטראָג|הַסְמָכָה
אויפטריכטיקן|אויפטריכטיקן|כֵּנה
אויפכאפן|אויפכאַפּן|לקלוט, להבין
אויפכאפן|אױפֿכאַפּן|להתעורר
אויפלאגן|אויפֿלאָגן|לטעון
אויפלעבן|אויפֿלעבן|לחיות
אויפלעבן|אױפֿלעבן|להתחיות
אויפמאכן|אויפֿמאַכן|לפתוח
אויפמערקזאם|אויפמערקזאַם|מעירים (מסבים תשומת לב)
אויפמערקזאם|אויפֿמערקזאַם|קשוב
אויפמערקזאמקייט|אויפמערקזאַמקייט|תשומת לב
אויפן|אויפֿן|על ה-
אויפנאם|אויפֿנאַם|קבלת פנים
אויפנעמן|אויפֿנעמען|לקבל
אויפפיהערונגן|אויפפיהערונגען|חֶבְרָתִּיים
אויפפירונג|אויפפירונג|התנהגות, הנהגה
אויפפרישן|אױפֿפֿרישן|לרענן
אויפץ|אויפץ|על ה־
אויפצובוין|אויפצובויען|לבנות
אויפצונעמן|אויפצונעמען|לקחת, לאסוף
אויפצוקלערן|אויפצוקלערן|להסביר, להבהיר
אויפקלארונג|אויפֿקלאַרונג|הסברה
אויפקלארן|אויפֿקלאַרן|להסביר
אויפקלערן|אויפקלערן|לברר, להבהיר, לבאר
אויפרוף|אויפֿרוף|קריאה לעלות לתורה
אויפרופן|אויפרופן|לקרוא; להעלות לתורה
אויפרייס|אויפרייס|קרע, פרצה
אויפריכטיק|אויפריכטיג|כן, ישר לב
אויפריכטיקן|אויפריכטיקן|כֵּנה
אויפשטייגן|אויפשטייגן|לעלות, עלייה
אויפשטיין|אויפֿשטיין|לקום
אויפשטיין|אויפשטייען|להִתעורר
אויפשטייק|אויפשטייג|עליה, שגשוג
אויפשטעלן|אויפשטעלן|להקים, להעמיד
