אַ ביסל|קצת|a little
אַ גוטן|יום טוב, ברכה|a good (day); a greeting/blessing
אַ דאנק|תודה|thanks
אַ מאָל|פעם אחת|once, one time
אַ סך|הרבה|a lot, much
אַ פּאָר|זוג, כמה|a pair; a few
א פולע|הרבה, מלא|a lot, full
אַ פּנים|פנים, מראה|a face; apparently
אַ שאלה|שאלה|a question
אָבגעצויגען|נסוג, משוך לאחור, מרוחק|withdrawn, drawn back, distant
אָבגעשפּאַרט|נעול, סגור|locked, shut
אַביסעלע|קצת, מעט|a little bit
אָבער|אבל, ברם|but, however
אָבער דאָך|אבל בכל זאת|but nevertheless
אדורך|דרך, לעבור דרך|through; to pass through
אדורכגעגאנגען|עבר דרך|passed through
אָדלער|נשר|eagle
אַדעליקע|נסיכים|nobles
אַדעליקער|נסיך|nobleman
אָדער|או|or
אהיים|הביתה|home(ward)
אַהין|לשם|to there, thither
אָהן|בלי|without
אהנעמן|לקבל, לקבל על עצמו (=אננעמען)|to accept; to take upon oneself
אַהער|לכאן|to here, hither
אוגערקע|מלפפון|cucumber
אודאי|בוודאי (=אַוודאי)|certainly, surely
אַוודאי|בוודאי|certainly, surely
אָוונט|ערב|evening
אווענד|ערב|evening
אווענט|ערב|evening
אַוועק|הלאה, יצא|away, gone
אַוועקגיין|ללכת משם|to go away
אַוועקגעבן|לתת, למסור|to give away, to hand over
אַוועקגעגאַנגען|הלך משם|went away
אוועקגעגעבן|מסר, נתן|gave away, handed over
אוועקגעזעצט|הושיב; (זיך) התיישב|seated; sat down
אוועקגעלייגט|הניח בצד|put aside, laid down
אוועקגענומען|נלקח|taken away
אַוועקגענומען געוואָרן|נלקח|was taken away
אַוועקגעפאָרן|נסע משם|drove away, departed
אֲוועקגעפירט געוואָרען|הוסע|was led/taken away
אַוועקגעשאָנקען|העניק- במתנה|gave as a gift, bestowed
אַוועקגעשטעלט|העמיד, קבע|set up, placed, established
אוועקווארפן|להשליך|to throw away
אוועקזעצן|להושיב; (זיך) להתיישב|to seat; to sit down
אַוועקזעצן זיך|להתיישב|to sit oneself down
אוועקטראגן|לשאת משם, לסחוב|to carry away
אַוועקלאָזן|לשמוט, לתת-לצאת|to let go, to release
אַוועקלייגן|להניח בצד|to lay aside
אוועקנעמן|לקחת, ליטול|to take away
אַוועקפאָרן|לנסוע משם|to drive away, to depart
אַוועקשטעלן|להעמיד, לקבוע|to set up, to establish
אַוועקשטעלן זיך|להתייצב|to position oneself, to stand
אויב|אם|if
אויבן|למעלה|above, up
אויבן־אָן|באופן שטחי|superficially
אויבנאן|בראש (במקום המכובד)|at the head (place of honor)
אויבנדערמאנטע|הנזכר לעיל|aforementioned
אויבער|עליון (קידומת)|upper, supernal (prefix)
אויבערפלעכלעך|שטחי|superficial
אויבערשטנס|של העליון (הקב"ה)|of the Most High (God's)
אויבערשטע|העליון, העליונה|the highest, supernal
אויבערשטע וועלטן|עולמות עליונים|upper worlds
אויבערשטען|העליון (מוטה)|the Most High (inflected)
אויבערשטער|העליון, הקב"ה|the Most High, God
אויג|עין|eye
אויגן|עיניים|eyes
אויוון|תנור|oven, stove
אויטאָמאָביל|מכונית|automobile
אוייסענווייניג|בעל פה, מחוץ לפנים|by heart; on the outside
אויך|גם, אף|also, too
אויכעט|גם|also
אוינטערהאַנדעלונגען  ר"ס|שיג ושיח, משא ומתן|negotiations
אויס|גמור, יצא|over, finished; out
אויסאיידעלען|לעַדֵן|to refine, to ennoble
אויסבּאָדן|לרחוץ|to bathe, to wash
אויסבאַהאַלטן|להתחבא|to hide oneself
אויסבּעטען|לבקש, לחנן|to plead for, to obtain by pleading
אויסברעכן|לפרוץ|to break out
אויסגאבן|הוצאות; מהדורות|expenses; editions
אויסגאבעס|הוצאות; מהדורות|expenses; editions
אויסגאַנג|יציאה, מוצא|exit, outcome
אויסגוּס|השתפכות|outpouring
אויסגיסן|לשפוך|to pour out
אויסגישפראָכענע|מוּבהקים|pronounced, distinct
אױסגלאַנץ|זוהר, ברק|radiance, luster
אויסגלייך|פיוס|reconciliation
אויסגלייכן|ליישר|to straighten, to even out
אויסגעאיבט|הפעיל|exerted, exercised
אויסגעאַרבּעט|מעובד (בד"כ עיבד), מעובד (בד"כ: עיבד)|worked out, elaborated
אויסגעאַרבעט|מעובד|worked out, elaborated
אויסגעבן|להוציא|to spend; to publish
אויסגעבעטן|פעל בתחנונים, ביקש והשיג|obtained by pleading
אויסגעבראכן|פרץ|broke out
אויסגעגאָסען|שָפַך|poured out
אויסגעגלייכט|מאוזן|balanced, evened out
אויסגעדאַרט|כחוש, רזה מיובש|emaciated, gaunt
אויסגעדריקט|הביע, מובע|expressed
אויסגעדריקט געוואָרן|הוּבעַ|was expressed
אויסגעהאלטן|מבוסס, עקבי; עמד ב־|consistent, well-founded; withstood
אויסגעהייבן|מורם|raised, elevated
אויסגעהיילט|נרפא|healed, cured
אויסגעהערט|האזין עד תום|listened to the end
אויסגעוואַנדערטע|נודדים|emigrants, wanderers
אויסגעוואַקסען|גידלו|grew up, matured
אויסגעוואַשענע|רחוצים|washed
אויסגעוויזן|נדמה, נראה|appeared, seemed
אויסגעווייזן|הוכח|proven, demonstrated
אויסגעזהען|נראה, דמה|appeared, looked like
אויסגעזוכט|נבחר|select, choice, exquisite
אויסגעזען|נראה|appeared, looked
אויסגעטאָן|פשט בגדיו|undressed, took off (clothes)
אויסגעטייטשט (האָט)|פירש|interpreted
אויסגעטיילט|מחולק|distributed, divided
אויסגעכאַפּט (האָט‎|חטף|snatched, grabbed
אויסגעלאָזט|נותר בחוץ|left out
אויסגעלאכט|לעג ל־|mocked, laughed at
אויסגעלאַסן|שמח|merry, exuberant; unrestrained
אויסגעלייגט|פרוש|laid out, spread out
אויסגעלעבט|לחיות (עד סוף החיים)|to live out (one's life)
אויסגעלערנט|למד היטב; לימד|learned thoroughly; taught
אויסגעמאָלן|מצויר|painted, depicted
אויסגעמאָנט|מוזהר|demanded; admonished
אויסגעמושטירט|נבחן, נסקר במבט בוחן|scrutinized, inspected
אויסגעמעסטן|נמדד|measured out
אויסגעמעקט|להמחות|to erase, to wipe out
אויסגעמעקט געוואָרן|נמחה|was erased
אויסגענוּצט|מנוצל|utilized, exploited
אויסגעפאָלגט|לשמוע בקול, לקיים|to obey, to carry out
אויסגעפאלן|נפל, נשר|fell out, dropped out
אויסגעפונען|גילה, מצא|found out, discovered
אויסגעפוצט|מקושט, מהודר|dressed up, adorned
אויסגעפינען|למצוא, לגלות|to find out, to discover
אויסגעפירט|מבוצע|carried out, accomplished
אויסגעפלאסטערטען|מרוצף|paved
אויסגעצייכנט|מצוין|excellent, distinguished
אויסגעקאַלכט|מסויד|whitewashed
אויסגעקומען|יצא לו, הזדמן; נאלץ|happened to; had to; managed
אויסגעקליבן|נבחר|chosen, selected
אויסגערופן|הכריז|proclaimed, called out
אויסגערעדט|דיבר, הוציא בדיבור|spoke out, uttered
אויסגערעכנט|חישב|calculated
אויסגערעכענט|נִמנים|counted, enumerated
אויסגעשטאַנען|סבל, עמד מול|endured, withstood
אויסגעשטעלט|ערוך, מסודר; חשוף|arranged, displayed; exposed
אויסגעשלאָסן|לא נכלל|excluded
אויסגעשלאָסען|מוּצא, מוּסגר, מוּשלל|excluded, ruled out
אויסגעשעפּט|שאב עד תום, מוצה|exhausted, drained
אויסגעשפּרייט|מְפֻזר|spread out, scattered
אויסגעשריי|צעקה, זעקה|outcry, scream
אויסגעשריען|צעק|cried out, screamed
אויסגרייטן|להכין|to prepare
אויסדריק|ביטוי|expression
אויסדריקען|להביע|to express
אויסהאַלטן|להחזיק מעמד|to hold out, to endure
אויסהאַלטען|לִתמוך, להחזיק מעמד|to support; to endure
אויסהאַקן|לחצוב, לחתוב|to hew, to hack out
אויסהאַרן|להתאמץ|to hold out, to persevere
אויסהיטן|לשמור מפני|to guard against
אויסהיטן (זיך)|להשמר|to beware, to be careful
אויסהייבן|להרים, לבחור|to lift out; to single out
אויסהיילן|לרפא|to heal, to cure
אויסהערען|להקשיב|to hear out, to listen
אויסהערענדיק|תוך האזנה עד הסוף|while listening to the end
אויסוואַל|בחירה, מבחר|choice, selection
אויסוואַקסען|לצמוח|to grow up
אויסוואשן|לשטוף, לרחוץ|to wash out
אױסװוּקס|גידול, פיתוח|growth, outgrowth
אויסוויזן|להוכיח|to prove, to demonstrate
אויסווייניק|בעל פה|by heart
אויסוויינען|לשפוך בבכי|to weep out, to cry one's heart out
אויסווירקן|הִשפעה|to bring about; effect
אויסוועג|מוצא|way out, solution
אויסוועלן|לבחור|to choose
אױסװערטס|כלפי חוץ|outward
אויסזאָגן|לומר|to say out, to utter
אויסזוכן|לברור, לחפש ולמצוא|to search out, to pick
אויסזינגען|לשיר עד הסוף, לבטא בשירה|to sing out
אויסזעהען|להיראות (כתיב ישן)|to appear, to look (old spelling)
אויסזען|להיראות, מראה|to appear, to look; appearance
אויסזעעניש|מראה חיצוני|outward appearance
אויסטאָן|להתפשט, לִפשוט|to undress, to take off
אויסטוישוּנגס-ווערטער|חליפת מילים - שיחה|exchange of words, conversation
אויסטייטש|פירוש, ביאור|interpretation, explanation
אויסטייטשן|לפרש|to interpret
אויסטיילן|לחלק|to distribute
אויסטרעטער|סולל, רומס|treader, trampler
אויסיאָגן|לרדוף|to chase out, to pursue
אויסלאזן|לסיים; (זיך) להסתיים|to finish; to end up
אויסלאַכן|ללעוג, לצחוק על|to mock, to laugh at
אויסלאַנד|מחו"ל|abroad, foreign countries
אויסלאָנדישע|של חו"ל|foreign
אויסלייגן|לפרוש, לסדר|to lay out, to arrange
אויסליידיקען זיך|להִתפנות, להִתרוקן|to empty out, to become free
אויסלייזן|לגאול|to redeem
אויסלערנן|ללמד; (זיך) ללמוד היטב|to teach; to learn thoroughly
אויסלערנען זיך|ללמוד היטב|to learn thoroughly
אויסמאָלען|לתאר|to depict, to portray
אויסמושטירן|לבחון, לסקור במבט בוחן|to scrutinize, to inspect
אויסמיידן|להימנע מ־|to avoid
אויסמישן|לערבב|to mix up
אויסמעסטען|לִמדוד|to measure out
אויסמערקזאַם|להעיר (להסב תשומת לב)|to point out (to draw attention)
אויסן|(זיין אויסן) להתכוון ל־, לחתור ל־|to be after, to aim at
אויסנַאהם|חריג, יוצא מִן הכלל|exception
אויסנאַם|יוצא מן הכלל|exception
אויסנווייניק|בעל פה; מבחוץ|by heart; on the outside
אויסניצן|לנצל|to make use of, to exploit
אויסער|חוץ מ-, פרט ל-|except, besides
אויסער געוועהנליכער|בלתי רגיל|extraordinary, unusual
אויסערגעוויינליך|יוצא דופן|extraordinary
אויסערגעוויינליכע|יוצאי דופן|extraordinary (pl.)
אויסערגעוויינליכער|בלתי רגיל, יוצא דופן|extraordinary, unusual
אויספאקן|לפרוק (חבילה)|to unpack
אויספאָרמירט|עוצב, עוצב מחדש|formed, reshaped
אויספאָרשונג|חקירה|investigation, research
אויספּאָרשונגס|חקירות|investigations
אויספּיהערליך|בפרוטרוט|in detail
אויספיהר|המסקנה, מסקנה, ביצוע|conclusion; execution
אויספיהרליך|בפירוט, באריכות|in detail, at length
אויספיהרען|לבצע (כתיב ישן)|to carry out (old spelling)
אויספיר|מסקנה|conclusion
אויספירן|למלא|to carry out, to accomplish
אויספעהלין|לחסור, להיעדר|to be lacking, to be absent
אויספּרובירן|לבדוק, לנסות|to try out, to test
אויספּרוּבן|לבחון|to test
אויספּרעסן|ללחוץ|to press out, to squeeze
אויסצוג|ציטוט|excerpt, quotation
אויסצוגעפינען|למצוא|to find out
אויסצוּטייטשען|לפרש (לתרגם|to interpret (to translate)
אויסצוטרעטן|לסלול|to tread out, to pave
אויסצומיידן|לִשלול|to avoid
אויסצופאקן|לפרוק, להוציא מהאריזה|to unpack
אויסצופיהרען|לילאַ, למלאות|to carry out, to fulfill
אויסצופירן|לבצע, להוציא לפועל|to carry out, to execute
אויסצופּרובירן|לבחון|to test
אויסצופּרובירן|להכיח|to test, to try out
אויסצורעכענען|לחשב|to calculate
אויסצושטיין|להתמודד, לעמוד כנגד|to withstand, to endure
אויסציין|לקשט|to adorn, to decorate
אויסקאַנטשטן|לזהות|to recognize, to discern
אויסקוינפטן|עתיד, לעתיד|future
אויסקומען|להסתדר; להיאלץ|to manage, to get by; to have to
אויסקוק|מראה|appearance, look
אויסקליַיבען|לבחור|to choose
אויסקלייבּען|לבחור, לברור|to choose, to select
אויסקלינגען|להישמע|to ring out, to resound
אויסקערן|לטאטא|to sweep out
אויסראָטן|לכלות, להכרית, לכלות, להכריח|to exterminate, to root out
אויסראמן|לפנות, לבער|to clear out
אויסרוען|(זיך) לנוח|to rest
אויסרופן|להכריז|to proclaim, to call out
אויסריידן|לבטא; (זיך) לשפוך את הלב|to pronounce; to pour out one's heart
אויסרייניגען|לנקות היטב|to clean out thoroughly
אויסרייניקן|לנקות היטב, לטהר|to clean out, to purify
אויסרייסן|לתלוש, לעקור|to tear out, to uproot
אויסרעדן|לדבר, לשוחח|to talk out, to converse
אויסרעכענונג|חישוב|calculation
אויסרעכענען|לחשב|to calculate
אויסשטעלן|להציג|to display, to exhibit
אויסשניידן|לגזור, לחתוך|to cut out
אויסשעפן|למצות, לדלות עד תום|to exhaust, to draw out fully
אויסשפּראַך|משהו-לבטא, התבטאות, ביטוי|pronunciation, utterance
אויסשפראכן|מבטאים; ביטויים|pronunciations; utterances
אויסשרייען|לצעוק, לזעוק|to cry out, to scream
אויער|אוזן|ear
אויערן|אוזניים|ears
אויערען|אוזנים, אוזניים|ears
אויף|על, בשביל|on; for
אויף אייביק|לנצח|forever
אויף אַמאָל|בבת אחת, פתאום|all at once, suddenly
אויף שטענדיק|לתמיד|forever, permanently
אויפבויען|לִבנות|to build up
אויפגאב|משימה, תפקיד|task, mission
אויפגאַבן|תפקידים, משימות|tasks, missions
אויפֿגאַבע|משימה|task
אויפגאַבע|תפקיד, משימה|task, mission
אויפגאַבּע|תפקיד|task
אויפגיין|לעלות, לזרוח|to rise (as the sun)
אויפגעבויט|בנה|built up
אויפגעבראַכט (האָט)|הכעיס|angered, provoked
אויפגעהאדעוועט|גידל|raised, brought up
אויפגעהאנגען|תלוי|hung up
אויפגעהויבן|התרומם, קם, הורם, נרומם|rose, was lifted up
אויפגעהערט|הפסיק|stopped, ceased
אויפגעוואַכט|התעורר|woke up
אויפגעוואקסן|גדל, התבגר|grew up
אויפגעוועקט|העיר, מעורר|awakened, aroused
אויפגעוועקט געוואָרן|התעוררו|were awakened
אויפגעטאָן|פעל, חידש|accomplished, achieved
אויפגעטראָגן|הוגש, הוצג|served, presented
אויפגעטרייסלט|מזועזע|shaken up
אויפגעכאַפט|תפסו|caught, grabbed
אויפגעכאַפּט|קלט, הבין|caught on, grasped
אויפגעלייגט|במצב רוח מרומם, שמח|in high spirits, cheerful
אויפגעלייגטע|מצב רוח מרומם|cheerful, in high spirits
אויפגעלייגטקייט|מצב רוח מרומם|cheerfulness, good mood
אויפגעמינטערט|עודד, עודד|encouraged, cheered up
אויפגענומען|קיבל (פנים), קלט|received, took in
אויפגענומען געוואָרן|התקבלו|were received
אויפגעעפנט|נפתח|opened up
אויפגעצויגען|גדל, התחנך (זיך); מתוח|raised, brought up; tense
אויפגעציטערט|הזדעזע|shuddered, trembled
אויפגעקלערט|הבהיר|clarified, enlightened
אויפגערודערט|הרעידה, זעזע|stirred up, agitated
אויפגערופן|קרא; הוזמן לתורה|called up (to the Torah)
אויפֿגערעגט|נרגש|agitated, excited
אויפגעשטאַנען|התעורר, קם|got up, arose
